Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,64100,0.091,5,5,1.0,0.2021271434215502,0.9928639457526953,13.930960369793672,0.0,0.0,,0.0
5,lucene,,64655,0.138,5,5,1.0,0.2997018277011763,0.9976939977103352,14.9964252465794,0.3326439405744057,1.0,1,1.0
5,lucene,,66455,0.131,5,5,1.0,0.44729962447620086,0.9916563141905661,11.90015721397125,0.0,0.0,,0.0
5,lucene,,67608,0.056,5,5,1.0,0.4429515243582287,0.9875154565006291,14.596551844328435,0.0,0.0,,0.0
5,lucene,,68702,0.06,5,5,1.0,0.4448489197273884,0.9976203268568917,14.531086967542706,0.12227561889390182,0.14285714285714285,7,0.14285714285714285
5,lucene,,68836,0.066,5,5,1.0,1.3669032279036242,0.9392382207722707,14.808031558224252,0.0,0.0,,0.0
5,lucene,,68874,0.091,5,5,1.0,0.8270450662619094,0.9881391360503208,10.907874344253004,0.10908065511310538,0.1,10,0.1
5,lucene,,68905,0.055,5,5,1.0,0.8922291219941604,0.9182609924681406,11.800030616222216,0.0,0.0,,0.0
5,lucene,,70337,0.09,5,4,0.8,1.335772705612303,0.7777621617981619,9.27371901428583,0.0,0.0,,0.0
5,lucene,,71362,0.065,5,5,1.0,0.5708304213623694,0.9880563942128316,15.266001884004073,0.0698458635484592,0.05555555555555555,18,0.05555555555555555
5,lucene,,72633,0.035,5,5,1.0,0.8380336971795567,0.951576427835961,12.846551844328435,0.07583782041311024,0.06666666666666667,15,0.06666666666666667
5,lucene,,73639,0.061,5,5,1.0,0.5046249775274432,1.0,14.815748688506009,0.0,0.0,,0.0
5,lucene,,74730,0.131,5,5,1.0,0.4814187852488917,0.9712358996640433,15.842693279187555,0.0,0.0,,0.0
5,lucene,,74743,0.056,5,5,1.0,0.5325115513722631,0.9936552787551981,15.680960369793672,0.14217492720158614,0.06728778467908902,21,0.047619047619047616
5,lucene,,75422,0.124,5,5,1.0,0.6791799614979457,0.9704102912669372,14.377355000150859,0.0,0.0,,0.0
5,lucene,,76284,0.127,5,4,0.8,0.2928673670290945,0.8790780000963963,12.52371901428583,0.0,0.0,,0.0
5,lucene,,76695,0.048,5,5,1.0,1.0471215119858928,1.0,11.888930695573494,0.0,0.0,,0.0
5,lucene,,77016,0.082,5,5,1.0,0.4045105669056111,1.0,13.781086967542706,0.0,0.0,,0.0
5,lucene,,79846,0.083,5,5,1.0,0.4364760367986429,1.0,13.034945532683583,0.0,0.0,,0.0
5,lucene,,81783,0.099,5,5,1.0,0.4658463031762608,1.0,15.031086967542706,0.0,0.0,,0.0
5,lucene,,82202,0.14100000000000001,5,5,1.0,0.8725628688872827,0.9704115150648652,12.7464252465794,0.0,0.0,,0.0
5,lucene,,82647,0.17,5,4,0.8,0.885082453819664,0.8616161475877477,13.839183891071558,0.0,0.0,,0.0
5,lucene,,82880,0.148,5,5,1.0,0.5950612383805487,0.98520472838147,13.33469233718552,0.0,0.0,,0.0
5,lucene,,83182,0.083,5,5,1.0,0.3936236971627935,0.995571037709914,14.715622090756977,0.0,0.0,,0.0
1,ii,,316,0.359,5,5,1.0,0.2378801596526953,1.0,13.565748688506009,0.07547184624662366,0.06666666666666667,15,0.06666666666666667
5,lucene,,83553,0.081,5,5,1.0,0.757237656630134,0.9754302017858013,13.90015721397125,0.0,0.0,,0.0
5,lucene,,84549,0.115,5,4,0.8,0.45800832981004175,0.8834339061175375,12.589183891071558,0.0708124288829355,0.045454545454545456,22,0.045454545454545456
5,lucene,,84598,0.045,5,4,0.8,1.1155640903329374,0.8589857153393129,11.011859507142916,0.0,0.0,,0.0
5,lucene,,88394,0.14300000000000002,5,5,1.0,0.5183057703037873,0.9763666731291899,8.27308602554067,0.0,0.0,,0.0
1,ii,,1015,0.399,5,5,1.0,0.8678067766350249,0.9484002194357362,13.784945532683583,0.08636036871328605,0.08333333333333333,12,0.08333333333333333
5,lucene,,88928,0.079,5,5,1.0,0.7486151794428257,0.9766380015588774,11.90015721397125,0.0,0.0,,0.0
5,lucene,,90097,0.062,5,5,1.0,0.43986590585079366,0.9885109957920936,15.877355000150859,0.0,0.0,,0.0
5,lucene,,91969,0.132,5,5,1.0,0.40384057221771574,0.9895548207026452,12.404015779112127,0.0,0.0,,0.0
5,lucene,,92430,0.057,5,5,1.0,1.242334497626008,0.9811586425764682,10.227197786179612,0.0,0.0,,0.0
1,ii,,1935,0.378,5,5,1.0,0.7411374406259746,0.96720542737635,14.7464252465794,0.059730788041093566,0.047619047619047616,21,0.047619047619047616
5,lucene,,92882,0.111,5,5,1.0,0.878285864861304,0.9872602348740916,15.219480655897856,0.0,0.0,,0.0
5,lucene,,93705,0.129,5,4,0.8,0.3414562648010937,0.7958221053336557,11.392789260714373,0.0,0.0,,0.0
5,lucene,,93710,0.135,5,5,1.0,0.3459156788934063,0.9932118866981073,14.65015721397125,0.08818757218738477,0.09090909090909091,11,0.09090909090909091
5,lucene,,96610,0.074,5,5,1.0,0.56208642492384,0.981664930144226,13.385072130432615,0.0,0.0,,0.0
1,ii,,2024,0.464,5,5,1.0,0.31331245208542335,0.995571037709914,14.715622090756977,0.0,0.0,,0.0
5,lucene,,97953,0.14300000000000002,5,5,1.0,0.35382108204420337,1.0,12.35426897461019,0.0,0.0,,0.0
5,lucene,,98494,0.14200000000000002,5,4,0.8,1.3973129258875145,0.8941685362673782,9.815464876785729,0.0,0.0,,0.0
5,lucene,,98781,0.127,5,5,1.0,1.3086323252022416,0.9300640192127405,10.392156271969212,0.0,0.0,,0.0
5,lucene,,99093,0.107,5,5,1.0,0.3095194050925659,0.9791671593836945,11.75028381172028,0.0,0.0,,0.0
5,lucene,,99477,0.084,5,5,1.0,1.2556068223185715,0.9482259381075316,13.877355000150859,0.0,0.0,,0.0
1,ii,,2945,0.541,5,5,1.0,0.2055762492067988,1.0,13.25028381172028,0.0,0.0,,0.0
5,lucene,,100277,0.107,5,5,1.0,0.9093627660872965,0.9530702686790632,15.23134016304077,0.09432049739751418,0.2,5,0.2
5,lucene,,100728,0.073,5,5,1.0,0.5361736632904035,1.0,15.781086967542706,0.0,0.0,,0.0
5,lucene,,103816,0.115,5,5,1.0,0.9294513140051792,0.8735330797320963,8.76922746039979,0.0,0.0,,0.0
5,lucene,,104393,0.067,5,4,0.8,0.4816434754960571,0.881256730007548,14.154648767857287,0.0,0.0,,0.0
5,lucene,,105455,0.132,5,5,1.0,0.44404879045497686,1.0,13.069607253646886,0.0,0.0,,0.0
1,ii,,2988,0.516,5,5,1.0,1.4722299324562675,0.9229117275929364,10.819607253646886,0.0,0.0,,0.0
5,lucene,,106236,0.094,5,5,1.0,0.14079025133971942,1.0,13.781086967542706,0.0,0.0,,0.0
5,lucene,,106512,0.112,5,5,1.0,0.11205346316895526,1.0,14.065748688506009,0.07998152284060833,0.0625,16,0.0625
5,lucene,,108010,0.064,5,5,1.0,1.2884709701770554,0.8796200177992779,10.40015721397125,0.0,0.0,,0.0
1,ii,,3665,0.315,5,5,1.0,0.7255485545685628,0.9851048385249096,12.204395572359223,0.0,0.0,,0.0
5,lucene,,108159,0.122,5,4,0.8,0.9973783158158409,0.8452977488745927,12.52371901428583,0.0,0.0,,0.0
5,lucene,,109177,0.064,5,5,1.0,0.48784006209151987,1.0,16.06189012336513,0.0,0.0,,0.0
5,lucene,,109347,0.077,5,5,1.0,1.1286259572668378,0.9319024630517545,13.684818934934553,0.0,0.0,,0.0
5,lucene,,110148,0.096,5,5,1.0,0.8921366571689837,0.8940953514875314,11.430960369793672,0.0,0.0,,0.0
5,lucene,,110773,0.11800000000000001,5,5,1.0,0.7110228663889903,0.940014134970848,14.162016721114163,0.0,0.0,,0.0
5,lucene,,112217,0.074,5,5,1.0,1.3042216846741894,0.9289153722973597,14.384439141687455,0.07042347205677175,0.041666666666666664,24,0.041666666666666664
5,lucene,,114316,0.045,5,5,1.0,0.4943324457461231,1.0,15.2464252465794,0.0,0.0,,0.0
1,ii,,4347,0.5650000000000001,5,5,1.0,0.934521307466815,0.9143731959814992,9.119354058148822,0.0,0.0,,0.0
5,lucene,,116550,0.07100000000000001,5,5,1.0,0.40349815233185116,0.9767065017649703,14.680960369793672,0.0,0.0,,0.0
5,lucene,,116708,0.053,5,5,1.0,0.5965464938246542,1.0,14.465622090756977,0.0,0.0,,0.0
5,lucene,,117258,0.115,5,5,1.0,0.38711787031530975,0.9698102090838888,16.06189012336513,0.30189790916111175,1.0,1,1.0
5,lucene,,117493,0.097,5,5,1.0,0.6686764501168255,0.9828364469725283,14.315748688506009,0.15160594794846752,0.3333333333333333,3,0.3333333333333333
5,lucene,,118304,0.048,5,5,1.0,0.577949934445834,0.9783420074359332,14.25028381172028,0.0,0.0,,0.0
5,lucene,,119309,0.107,5,5,1.0,0.4762109248075854,0.9931094901590858,14.430960369793672,0.0,0.0,,0.0
1,ii,,4483,0.441,5,5,1.0,0.4625248275440296,0.9847041380931408,16.342693279187557,0.0,0.0,,0.0
5,lucene,,119625,0.061,5,5,1.0,0.7960774197238898,0.9398308483140912,14.361636927867066,0.0,0.0,,0.0
5,lucene,,120320,0.048,5,4,0.8,1.1256195849594521,0.8203822794332102,9.589183891071558,0.0,0.0,,0.0
5,lucene,,120729,0.108,5,5,1.0,0.9978186851963958,0.9970345900155874,11.654015779112127,0.34221151195027727,0.5,2,0.5
5,lucene,,120907,0.053,5,5,1.0,0.7495984565650092,0.9473446016157636,12.315748688506009,0.0,0.0,,0.0
5,lucene,,120941,0.08,5,4,0.8,2.1933766782757385,0.63589681946355,6.904648767857287,0.0,0.0,,0.0
1,ii,,4629,0.454,5,5,1.0,0.4560378029673697,0.983457196291623,13.031086967542706,0.0,0.0,,0.0
5,lucene,,121303,0.11,5,5,1.0,0.813189134655068,0.9952496579594983,13.715622090756977,0.0,0.0,,0.0
5,lucene,,124078,0.152,5,5,1.0,0.8411425233115615,0.9346069944948124,14.842693279187555,0.0,0.0,,0.0
5,lucene,,124454,0.059000000000000004,5,5,1.0,0.14740866989262857,1.0,14.281086967542706,0.0,0.0,,0.0
5,lucene,,124683,0.098,5,5,1.0,0.5220247187417904,1.0,13.60426897461019,0.08813868169458292,0.05555555555555555,18,0.05555555555555555
5,lucene,,124981,0.039,5,5,1.0,0.5551219694411259,0.9952496579594983,13.715622090756977,0.0,0.0,,0.0
5,lucene,,125012,0.043000000000000003,5,5,1.0,0.36304467774274635,0.9962252185556271,17.27722840240183,0.09095037077208434,0.1111111111111111,9,0.1111111111111111
1,ii,,4931,0.41400000000000003,5,5,1.0,0.8099247601121379,0.9410354496064371,12.031086967542706,0.0,0.0,,0.0
5,lucene,,128329,0.076,5,4,0.8,1.4534287046968122,0.8646525608004811,10.9582541375001,0.0,0.0,,0.0
5,lucene,,128480,0.105,5,5,1.0,0.6275840405083514,0.9636724909221182,15.00028381172028,0.0,0.0,,0.0
1,ii,,5611,0.295,5,5,1.0,0.47671980663848357,0.9840417470819939,15.41587528625504,0.0,0.0,,0.0
5,lucene,,129005,0.14300000000000002,5,5,1.0,0.373035243941554,1.0,13.885072130432615,0.0,0.0,,0.0
5,lucene,,129498,0.137,5,4,0.8,0.8365515916838121,0.9214775466390202,12.27371901428583,0.0,0.0,,0.0
5,lucene,,131616,0.068,5,5,1.0,0.2571191556464944,0.9855662174905224,12.600410409469312,0.0,0.0,,0.0
1,ii,,6937,0.23600000000000002,5,5,1.0,0.4465194333902052,0.986109455792628,13.100410409469312,0.0,0.0,,0.0
5,lucene,,134316,0.078,5,5,1.0,0.32900787321060965,0.9954159738026584,14.215622090756977,0.0,0.0,,0.0
5,lucene,,135223,0.136,5,5,1.0,0.5166557151220798,1.0,13.819607253646886,0.13996519587503262,0.16666666666666666,6,0.16666666666666666
5,lucene,,136856,0.085,5,5,1.0,1.3365837576526503,0.8762702803878324,12.912016721114163,0.0,0.0,,0.0
5,lucene,,137118,0.132,5,5,1.0,0.39276570771524205,0.9830467387302566,14.4964252465794,0.06175605135211021,0.047619047619047616,21,0.047619047619047616
1,ii,,10055,0.557,5,5,1.0,0.8805663264684572,1.0,12.954395572359223,0.0,0.0,,0.0
5,lucene,,137805,0.137,5,5,1.0,1.073816529255771,0.8960824348102815,7.596268032608155,0.0,0.0,,0.0
1,ii,,11343,0.583,5,5,1.0,0.46679793273349185,0.9691068614378588,13.631213565291738,0.0,0.0,,0.0
1,ii,,11571,0.187,5,5,1.0,0.5371073303848782,0.9488689254937938,13.346551844328435,0.0,0.0,,0.0
1,ii,,12014,0.14400000000000002,5,5,1.0,1.0629813287720211,0.9520976655348252,12.304522170108255,0.0,0.0,,0.0
1,ii,,12271,0.44,5,5,1.0,0.7132925501894782,0.9809462681356885,11.284945532683583,0.0,0.0,,0.0
1,ii,,12288,0.392,5,5,1.0,0.20258614617258078,1.0,11.219480655897856,0.0,0.0,,0.0
1,ii,,12649,0.434,5,5,1.0,0.6919053326018497,0.9570598639101618,13.461763525616098,0.0,0.0,,0.0
1,ii,,13700,0.316,5,5,1.0,0.4146231495644409,0.9793440298552835,13.4964252465794,0.0,0.0,,0.0
1,ii,,13920,0.309,5,5,1.0,1.237133783892002,0.9306803508813885,12.861636927867066,0.0,0.0,,0.0
1,ii,,15324,0.294,5,5,1.0,0.3120988686294708,0.9976146505047608,14.4964252465794,0.0,0.0,,0.0
1,ii,,15415,0.31,5,5,1.0,0.8390819352590763,1.0,11.323465818787767,0.0,0.0,,0.0
1,ii,,16126,0.41600000000000004,5,5,1.0,0.40696300741512853,0.9953457950774264,14.00028381172028,0.0,0.0,,0.0
1,ii,,16559,0.153,5,5,1.0,0.5923078158356873,0.9903317544049678,16.9617635256161,0.06754639381203961,0.05,20,0.05
1,ii,,22352,0.463,5,5,1.0,0.772706459459855,0.9532760031177545,11.615495493007945,0.0,0.0,,0.0
1,ii,,22363,0.399,5,5,1.0,0.4460916111729107,0.9221870438394867,7.523086025540669,0.0,0.0,,0.0
1,ii,,23638,0.367,5,5,1.0,0.6751008764924606,0.977352619198191,10.788804097824462,0.0,0.0,,0.0
1,ii,,24200,0.358,5,5,1.0,0.5548475961836907,1.0,14.534945532683583,0.3439985370950923,1.0,1,1.0
1,ii,,27731,0.326,5,5,1.0,1.5472293360200082,0.9893258701750056,12.850410409469312,0.0,0.0,,0.0
1,ii,,27898,0.426,5,5,1.0,0.4437522180593333,0.9808886861791026,11.25028381172028,0.0,0.0,,0.0
1,ii,,31444,0.326,5,5,1.0,0.8886591915527355,0.9096910212273369,12.281086967542706,0.0,0.0,,0.0
1,ii,,31476,0.319,5,5,1.0,0.3008233305254197,1.0,15.81189012336513,0.0,0.0,,0.0
1,ii,,32234,0.301,5,5,1.0,0.4662085061119583,0.992242282421014,16.746425246579403,0.0,0.0,,0.0
1,ii,,35227,0.427,5,5,1.0,0.839877337413992,0.9434139170475989,12.504142376861159,0.0,0.0,,0.0
1,ii,,36628,0.40800000000000003,5,5,1.0,0.7251136006416777,0.9274603864531143,10.869354058148824,0.0,0.0,,0.0
1,ii,,38187,0.186,5,5,1.0,0.8498986660861757,0.9424584201025515,9.635072130432615,0.0,0.0,,0.0
1,ii,,38875,0.112,5,5,1.0,1.1480187221371272,0.870487848363428,12.927101804652795,0.0,0.0,,0.0
1,ii,,39271,0.338,5,5,1.0,0.5408758226150311,0.9388388350769088,10.034945532683583,0.0,0.0,,0.0
1,ii,,39714,0.269,5,5,1.0,1.128251639502322,0.9092933063393647,10.719480655897856,0.0,0.0,,0.0
1,ii,,40071,0.20700000000000002,5,5,1.0,0.5837026622608468,0.985403467143771,16.87735500015086,0.0,0.0,,0.0
1,ii,,41020,0.136,5,5,1.0,0.6437658458368768,0.9678134205948012,14.580833772044642,0.0,0.0,,0.0
1,ii,,42053,0.201,5,5,1.0,1.0310405863222143,0.9363242003432625,11.769227460399792,0.05723626722669956,0.05555555555555555,18,0.05555555555555555
1,ii,,42399,0.35000000000000003,5,5,1.0,0.5959540094630936,0.9819221368338734,15.461763525616098,0.0,0.0,,0.0
